user_id,username,name,email,password,bio,country,age,signup_date,activity_score
0,sam.patel.0,Sam Patel,sam.patel.0@network.io,pw_0_demo,Sam Patel from IN. Activity score: 0.312.,IN,32,2015-06-30,0.312
1,alex.kim.1,Alex Kim,alex.kim.1@mail.com,pw_1_demo,Alex Kim from IN. Activity score: 0.737.,IN,41,2020-05-17,0.737
2,morgan.nguyen.2,Morgan Nguyen,morgan.nguyen.2@mail.com,pw_2_demo,Morgan Nguyen from UK. Activity score: 0.432.,UK,32,2018-07-07,0.432
3,riley.lee.3,Riley Lee,riley.lee.3@social.net,pw_3_demo,Riley Lee from US. Activity score: 0.443.,US,23,2015-10-12,0.443
4,sam.lee.4,Sam Lee,sam.lee.4@example.com,pw_4_demo,Sam Lee from UK. Activity score: 0.888.,UK,55,2023-03-15,0.888
5,casey.nguyen.5,Casey Nguyen,casey.nguyen.5@social.net,pw_5_demo,Casey Nguyen from AU. Activity score: 0.657.,AU,47,2022-06-02,0.657
6,casey.smith.6,Casey Smith,casey.smith.6@network.io,pw_6_demo,Casey Smith from SG. Activity score: 0.771.,SG,30,2021-05-02,0.771
7,sam.brown.7,Sam Brown,sam.brown.7@social.net,pw_7_demo,Sam Brown from US. Activity score: 0.802.,US,38,2012-06-24,0.802
8,avery.kim.8,Avery Kim,avery.kim.8@network.io,pw_8_demo,Avery Kim from DE. Activity score: 0.754.,DE,33,2024-04-18,0.754
9,taylor.smith.9,Taylor Smith,taylor.smith.9@mail.com,pw_9_demo,Taylor Smith from SG. Activity score: 0.405.,SG,53,2015-03-11,0.405
10,riley.patel.10,Riley Patel,riley.patel.10@social.net,pw_10_demo,Riley Patel from CA. Activity score: 0.227.,CA,44,2018-04-28,0.227
13,sam.garcia.13,Sam Garcia,sam.garcia.13@mail.com,pw_13_demo,Sam Garcia from AU. Activity score: 0.798.,AU,23,2016-10-15,0.798
