user_id,username,full_name,email,country,age,signup_date,activity_score
0,sam.patel.0,Sam Patel,sam.patel.0@network.io,IN,32,2015-06-30,0.312
1,alex.kim.1,Alex Kim,alex.kim.1@mail.com,IN,41,2020-05-17,0.737
2,morgan.nguyen.2,Morgan Nguyen,morgan.nguyen.2@mail.com,UK,32,2018-07-07,0.432
3,riley.lee.3,Riley Lee,riley.lee.3@social.net,US,23,2015-10-12,0.443
4,sam.lee.4,Sam Lee,sam.lee.4@example.com,UK,55,2023-03-15,0.888
5,casey.nguyen.5,Casey Nguyen,casey.nguyen.5@social.net,AU,47,2022-06-02,0.657
6,casey.smith.6,Casey Smith,casey.smith.6@network.io,SG,30,2021-05-02,0.771
7,sam.brown.7,Sam Brown,sam.brown.7@social.net,US,38,2012-06-24,0.802
8,avery.kim.8,Avery Kim,avery.kim.8@network.io,DE,33,2024-04-18,0.754
9,taylor.smith.9,Taylor Smith,taylor.smith.9@mail.com,SG,53,2015-03-11,0.405
10,riley.patel.10,Riley Patel,riley.patel.10@social.net,CA,44,2018-04-28,0.227
13,sam.garcia.13,Sam Garcia,sam.garcia.13@mail.com,AU,23,2016-10-15,0.798
14,alex.davis.14,Alex Davis,alex.davis.14@network.io,IN,44,2022-03-05,0.766
16,taylor.garcia.16,Taylor Garcia,taylor.garcia.16@mail.com,DE,30,2010-12-04,0.56
17,taylor.nguyen.17,Taylor Nguyen,taylor.nguyen.17@social.net,US,26,2010-07-06,0.878
19,avery.smith.19,Avery Smith,avery.smith.19@mail.com,US,36,2017-03-11,0.457
20,jordan.nguyen.20,Jordan Nguyen,jordan.nguyen.20@mail.com,DE,37,2020-06-04,0.918
21,avery.davis.21,Avery Davis,avery.davis.21@network.io,SG,48,2015-09-04,0.728
22,avery.nguyen.22,Avery Nguyen,avery.nguyen.22@social.net,AU,61,2022-01-10,0.213
23,morgan.kim.23,Morgan Kim,morgan.kim.23@network.io,BR,32,2021-07-14,0.555
